Date	Vaccinations
28/03/2023	56758
29/03/2023	57808
30/03/2023	56436
31/03/2023	58884
01/04/2023	21795
02/04/2023	12184
03/04/2023	50536
04/04/2023	51361
05/04/2023	50846
06/04/2023	51872
07/04/2023	47566
08/04/2023	21596
09/04/2023	6200
10/04/2023	49449
11/04/2023	49214
12/04/2023	48802
13/04/2023	46454
14/04/2023	49824
15/04/2023	19694
16/04/2023	9891
17/04/2023	42586
18/04/2023	43446
19/04/2023	43433
20/04/2023	58725
21/04/2023	79992
22/04/2023	43367
23/04/2023	25733
24/04/2023	85132
25/04/2023	84228
26/04/2023	88165
27/04/2023	89827
28/04/2023	97107
29/04/2023	39915
30/04/2023	24035
01/05/2023	90630
02/05/2023	94425
03/05/2023	97533
04/05/2023	103465
05/05/2023	105724
06/05/2023	40672
07/05/2023	21386
08/05/2023	55634
09/05/2023	11751
